Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueVsize1 PeakValueVsize2 TotalJobCPU1 TotalJobCPU2 TotalJobTime1 TotalJobTime2
1617008400.0 136.8642 NA 947 NA 1583 NA 1783 NA 796
1617008400.0 280.0 NA 0 NA 0 NA 0 NA 0
1617008400.0 512.0 0 NA 0 NA 113 NA 133 NA
1617008400.0 513.0 0 NA 0 NA 98 NA 121 NA
1617008400.0 514.0 0 NA 0 NA 143 NA 153 NA
1617008400.0 515.0 0 NA 0 NA 120 NA 125 NA
1617008400.0 516.0 0 NA 0 NA 134 NA 133 NA
1617008400.0 517.0 0 NA 0 NA 130 NA 156 NA
1617008400.0 518.0 0 NA 0 NA 145 NA 134 NA
1617008400.0 519.0 0 NA 0 NA 109 NA 137 NA
1617008400.0 520.0 0 NA 0 NA 120 NA 154 NA
1617008400.0 521.0 0 NA 0 NA 98 NA 133 NA
1617008400.0 522.0 0 NA 0 NA 98 NA 121 NA
1617008400.0 523.0 0 NA 0 NA 478 NA 298 NA
1617008400.0 524.0 0 NA 0 NA 147 NA 140 NA
1617008400.0 525.0 0 NA 0 NA 109 NA 123 NA
1617008400.0 526.0 0 NA 0 NA 104 NA 124 NA
1617008400.0 527.0 0 NA 0 NA 139 NA 144 NA
1617008400.0 528.0 0 NA 0 NA 108 NA 121 NA
1617008400.0 529.0 0 NA 0 NA 114 NA 131 NA
1617008400.0 530.0 0 NA 0 NA 123 NA 166 NA
1617008400.0 534.0 0 NA 0 NA 320 NA 418 NA
1617008400.0 536.0 0 NA 0 NA 327 NA 365 NA
1617008400.0 547.0 0 NA 0 NA 105 NA 132 NA
1617008400.0 548.0 0 NA 0 NA 140 NA 130 NA
1617008400.0 551.0 0 NA 0 NA 474 NA 291 NA
1617008400.0 552.0 0 NA 0 NA 194 NA 171 NA
1617008400.0 554.0 0 NA 0 NA 188 NA 198 NA
1617008400.0 555.0 0 NA 0 NA 548 NA 523 NA
1617008400.0 556.0 0 NA 0 NA 119 NA 137 NA
1617008400.0 562.0 0 NA 0 NA 270 NA 302 NA
