Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617656400.0 528.0 0 NA NA 0 NA NA 130 NA NA 195 NA NA
1617656400.0 529.0 0 NA NA 0 NA NA 128 NA NA 126 NA NA
1617656400.0 530.0 0 NA NA 0 NA NA 171 NA NA 158 NA NA
1617656400.0 534.0 0 NA NA 0 NA NA 303 NA NA 537 NA NA
1617656400.0 547.0 0 NA NA 0 NA NA 141 NA NA 141 NA NA
1617656400.0 548.0 0 NA NA 0 NA NA 143 NA NA 135 NA NA
1617656400.0 551.0 0 NA NA 0 NA NA 479 NA NA 285 NA NA
1617656400.0 552.0 0 NA NA 0 NA NA 113 NA NA 136 NA NA
1617656400.0 554.0 0 NA NA 0 NA NA 160 NA NA 156 NA NA
1617656400.0 555.0 0 NA NA 0 NA NA 1029 NA NA 568 NA NA
1617656400.0 556.0 0 NA NA 0 NA NA 113 NA NA 135 NA NA
1617656400.0 562.0 0 NA NA 0 NA NA 464 NA NA 325 NA NA
