Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617487200.0 1.0 73 107 184 NA NA NA 196 582 324 NA NA NA 1509 406 1171 NA NA NA 1828 803 2284 NA NA NA
1617487200.0 10001.0 NA 151 347 0 70 NA NA 603 530 0 124 NA NA 527 1823 1110 253 NA NA 894 3144 1746 1257 NA
1617487200.0 10005.0 NA 161 348 0 70 NA NA 605 565 0 131 NA NA 527 1826 1111 449 NA NA 838 2957 1440 888 NA
1617487200.0 10007.0 NA 156 351 0 70 NA NA 604 551 0 134 NA NA 555 1814 1126 249 NA NA 855 4082 1793 1161 NA
1617487200.0 10008.0 NA 154 350 0 70 NA NA 604 554 0 127 NA NA 574 1854 1129 241 NA NA 1187 3484 1870 693 NA
1617487200.0 10009.0 NA 156 348 0 70 NA NA 604 540 0 128 NA NA 567 1888 1117 499 NA NA 1640 3477 1705 806 NA
1617487200.0 10023.0 NA 151 346 0 70 NA NA 603 521 0 135 NA NA 544 1775 1120 240 NA NA 1366 3990 1669 741 NA
1617487200.0 10024.2 NA 166 363 0 NA NA NA 552 580 0 NA NA NA 629 2045 1128 NA NA NA 1822 3751 1542 NA NA
1617487200.0 10024.4 NA 164 361 0 NA NA NA 604 562 0 NA NA NA 630 2033 1114 NA NA NA 979 3506 1467 NA NA
1617487200.0 10025.0 NA 158 357 0 71 NA NA 601 534 0 132 NA NA 598 1896 1134 345 NA NA 1480 3763 1612 602 NA
1617487200.0 10225.0 NA 322 614 0 NA NA NA 620 923 0 NA NA NA 2509 3803 1156 NA NA NA 1849 4888 1631 NA NA
1617487200.0 103.0 73 125 273 NA NA NA 178 580 421 NA NA NA 1521 337 1642 NA NA NA 1464 1555 2583 NA NA NA
1617487200.0 10424.0 NA 164 364 0 NA NA NA 606 551 0 NA NA NA 622 2022 1154 NA NA NA 741 3751 1540 NA NA
1617487200.0 106.0 47 0 0 NA NA NA 107 0 0 NA NA NA 1035 188 1418 NA NA NA 1669 537 2752 NA NA NA
1617487200.0 107.0 84 121 274 NA NA NA 216 581 400 NA NA NA 2483 441 1742 NA NA NA 1674 804 3172 NA NA NA
1617487200.0 10801.0 NA 253 380 0 82 193 NA 715 577 0 142 298 NA 1487 1942 1832 381 1303 NA 2534 4538 2405 958 1894
1617487200.0 10802.0 NA 251 381 0 84 205 NA 637 589 0 143 292 NA 1516 1943 1842 622 1290 NA 2876 3633 2685 1348 1865
1617487200.0 10803.0 NA 257 381 0 85 205 NA 688 606 0 141 302 NA 1536 1970 1842 466 1444 NA 2236 4417 2907 733 2725
1617487200.0 10804.0 NA 256 379 0 85 182 NA 673 568 0 147 292 NA 1478 1903 1827 386 1421 NA 2456 4118 2771 2328 2487
1617487200.0 10807.0 NA 263 379 0 93 203 NA 684 606 0 150 297 NA 1531 1998 1960 404 1331 NA 2550 4229 2979 1490 1818
1617487200.0 10809.0 NA 261 380 0 94 206 NA 708 581 0 154 299 NA 1531 1976 1860 390 1441 NA 1714 4098 2485 891 2353
1617487200.0 10826.0 NA 285 400 0 85 206 NA 677 602 0 142 319 NA 1843 2375 1869 390 1370 NA 2625 4451 3090 946 2205
1617487200.0 10842.0 NA 265 390 0 97 202 NA 674 596 0 155 296 NA 1635 2113 1891 394 1323 NA 2785 4505 2991 644 2219
1617487200.0 10859.0 NA 279 402 0 93 208 NA 714 595 0 154 325 NA 1707 2669 1897 496 1497 NA 2489 5303 3253 643 2509
1617487200.0 110.0 63 94 271 NA NA NA 136 582 419 NA NA NA 886 416 1640 NA NA NA 927 1131 4067 NA NA NA
1617487200.0 111.0 76 140 273 NA NA NA 180 537 416 NA NA NA 1491 336 1650 NA NA NA 1663 605 2794 NA NA NA
1617487200.0 112.0 87 100 274 NA NA NA 216 579 418 NA NA NA 1905 445 1680 NA NA NA 1334 761 2188 NA NA NA
1617487200.0 11224.0 NA 268 391 0 NA NA NA 691 589 0 NA NA NA 1577 2259 1931 NA NA NA 2208 4992 2463 NA NA
