Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617487200.0 1.0 71 91 184 NA NA NA NA 206 433 545 NA NA NA NA 1101 779 1829 NA NA NA NA 1363 704 1939 NA NA NA NA
1617487200.0 10004.0 NA 201 361 0 79 141 NA NA 553 743 0 164 275 NA NA 3157 2548 674 582 736 NA NA 2897 3843 1950 647 980 NA
1617487200.0 10006.0 NA 211 359 0 76 138 NA NA 538 736 0 155 265 NA NA 2872 2712 671 625 694 NA NA 2291 4300 1442 648 1439 NA
1617487200.0 1002.0 NA 287 72 NA NA NA NA NA 625 165 NA NA NA NA NA 3729 406 NA NA NA NA NA 3778 314 NA NA NA NA
1617487200.0 10023.0 NA 205 363 0 76 137 NA NA 644 720 0 162 266 NA NA 2998 2400 669 814 778 NA NA 2555 3677 1027 806 1117 NA
1617487200.0 10024.5 NA 215 376 0 NA NA NA NA 588 808 0 NA NA NA NA 2793 2790 675 NA NA NA NA 1269 3335 892 NA NA NA
1617487200.0 1003.0 NA 332 0 NA NA NA NA NA 713 0 NA NA NA NA NA 4035 383 NA NA NA NA NA 3638 557 NA NA NA NA
1617487200.0 1004.0 NA 219 88 0 0 0 0 NA 396 172 0 0 0 0 NA 1584 454 76 107 261 256 NA 2176 562 172 207 374 318
1617487200.0 10071.0 NA 211 373 0 80 164 NA NA 626 734 0 168 327 NA NA 2927 2899 687 585 697 NA NA 1541 5029 1267 562 944 NA
1617487200.0 101.0 83 NA NA NA NA NA NA 188 NA NA NA NA NA NA 846 NA NA NA NA NA NA 1113 NA NA NA NA NA NA
1617487200.0 1010.0 NA 35 46 0 NA NA NA NA 100 125 0 NA NA NA NA 125 256 144 NA NA NA NA 1034 335 181 NA NA NA
1617487200.0 102.0 84 NA NA NA NA NA NA 188 NA NA NA NA NA NA 711 NA NA NA NA NA NA 972 NA NA NA NA NA NA
1617487200.0 1020.0 NA 38 20 0 39 NA NA NA 156 89 0 156 NA NA NA 301 111 71 288 NA NA NA 439 269 160 332 NA NA
1617487200.0 10224.0 NA 343 570 0 165 NA NA NA 795 938 0 334 NA NA NA 4808 4707 705 780 NA NA NA 3735 5724 1495 927 NA NA
1617487200.0 10224.15 NA 361 591 0 193 NA NA NA 779 960 0 353 NA NA NA 4951 5143 701 883 NA NA NA 4039 5881 906 1409 NA NA
1617487200.0 10225.0 NA 359 566 0 166 NA NA NA 816 924 0 328 NA NA NA 4910 4507 711 711 NA NA NA 2926 4434 1527 1311 NA NA
1617487200.0 103.0 58 0 0 NA NA NA NA 152 0 0 NA NA NA NA 761 237 1791 NA NA NA NA 774 437 2795 NA NA NA NA
