Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1617613200.0 1.0 76 91 189 NA NA NA NA 201 510 553 NA NA NA NA 1119 847 1638 NA NA NA NA 1439 680 1683 NA NA NA NA
1617613200.0 1000.0 NA 289 156 0 65 NA NA NA 623 324 0 120 NA NA NA 3820 1394 394 293 NA NA NA 3464 951 545 1677 NA NA
1617613200.0 10004.0 NA 208 365 0 81 139 NA NA 574 746 0 168 267 NA NA 2912 2729 674 619 838 NA NA 1946 4215 1175 1432 1127 NA
1617613200.0 1002.0 NA 289 70 NA NA NA NA NA 637 167 NA NA NA NA NA 3742 425 NA NA NA NA NA 4095 351 NA NA NA NA
1617613200.0 10024.1 NA 216 378 0 NA NA NA NA 628 767 0 NA NA NA NA 2988 2854 705 NA NA NA NA 1870 3617 1399 NA NA NA
1617613200.0 10024.2 NA 214 377 0 NA NA NA NA 548 756 0 NA NA NA NA 2984 2783 702 NA NA NA NA 1542 2912 1861 NA NA NA
1617613200.0 1003.0 NA 326 0 NA NA NA NA NA 768 0 NA NA NA NA NA 3759 378 NA NA NA NA NA 3170 565 NA NA NA NA
1617613200.0 1004.0 NA 219 88 0 0 0 0 NA 386 172 0 0 0 0 NA 1672 581 76 106 242 242 NA 2128 667 172 243 356 308
1617613200.0 10042.0 NA 216 376 0 80 161 NA NA 573 816 0 165 328 NA NA 2802 4665 693 493 870 NA NA 1106 5545 2846 992 1219 NA
1617613200.0 10071.0 NA 217 375 0 80 163 NA NA 578 750 0 164 333 NA NA 2870 2803 707 592 827 NA NA 1517 4878 1271 734 1087 NA
1617613200.0 101.0 86 NA NA NA NA NA NA 188 NA NA NA NA NA NA 831 NA NA NA NA NA NA 1025 NA NA NA NA NA NA
1617613200.0 1010.0 NA 24 46 0 NA NA NA NA 98 126 0 NA NA NA NA 126 247 146 NA NA NA NA 356 335 201 NA NA NA
1617613200.0 102.0 86 NA NA NA NA NA NA 188 NA NA NA NA NA NA 713 NA NA NA NA NA NA 931 NA NA NA NA NA NA
1617613200.0 1020.0 NA 44 31 0 45 NA NA NA 160 88 0 157 NA NA NA 299 106 73 285 NA NA NA 574 261 157 385 NA NA
1617613200.0 10224.0 NA 359 581 0 167 NA NA NA 791 1014 0 334 NA NA NA 5149 4823 730 864 NA NA NA 4138 5476 1483 1123 NA NA
1617613200.0 10224.15 NA 351 603 0 189 NA NA NA 781 935 0 364 NA NA NA 5180 5257 727 920 NA NA NA 4694 5838 1323 1163 NA NA
1617613200.0 10225.0 NA 359 585 0 163 NA NA NA 776 985 0 333 NA NA NA 4880 4565 716 915 NA NA NA 2941 5367 1209 2281 NA NA
1617613200.0 103.0 59 0 0 NA NA NA NA 152 0 0 NA NA NA NA 841 251 1628 NA NA NA NA 821 391 2699 NA NA NA NA
1617613200.0 1030.0 NA 188 53 0 0 NA NA NA 442 120 0 0 NA NA NA 8160 269 77 65 NA NA NA 4106 324 182 109 NA NA
1617613200.0 1040.0 NA 374 26 0 NA NA NA NA 800 92 0 NA NA NA NA 12546 150 120 NA NA NA NA 5605 472 404 NA NA NA
1617613200.0 1040.1 NA 70 29 0 NA NA NA NA 176 93 0 NA NA NA NA 477 148 113 NA NA NA NA 739 259 164 NA NA NA
1617613200.0 105.0 77 93 27 NA NA NA NA 214 457 90 NA NA NA NA 1113 754 107 NA NA NA NA 1156 483 152 NA NA NA NA
1617613200.0 106.0 57 0 0 NA NA NA NA 152 0 0 NA NA NA NA 911 227 1754 NA NA NA NA 892 646 2948 NA NA NA NA
1617613200.0 107.0 85 96 276 NA NA NA NA 214 489 585 NA NA NA NA 2325 857 2324 NA NA NA NA 1223 628 3031 NA NA NA NA
1617613200.0 108.0 80 99 284 NA NA NA NA 212 457 611 NA NA NA NA 2825 802 2404 NA NA NA NA 2033 607 2590 NA NA NA NA
