Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 10004.0 198 371 0 84 145 395 808 0 190 281 2712 3091 639 417 760 1579 5828 1538 1211 1464
1617570000.0 10006.0 196 361 0 85 137 384 800 0 188 276 2589 2864 641 450 735 1565 4399 1532 1284 905
1617570000.0 136.861 116 420 0 NA NA 226 898 0 NA NA 808 17295 520 NA NA 1015 10124 856 NA NA
1617570000.0 25.0 120 316 0 80 NA 245 672 0 175 NA 2714 4996 562 412 NA 2170 5156 1617 894 NA
