Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617310800.0 10824.5 NA 223 NA NA NA NA 578 NA NA NA NA 11743 NA NA NA NA 7060 NA NA NA
1617310800.0 10824.501 NA 210 114 0 NA NA 589 320 0 NA NA 11152 2625 493 NA NA 8973 1514 578 NA
1617310800.0 10824.511 NA 210 79 NA NA NA 562 244 NA NA NA 10923 738 NA NA NA 3715 646 NA NA
1617310800.0 10824.521 NA 216 75 0 NA NA 572 218 0 NA NA 11176 989 331 NA NA 4056 1189 419 NA
1617310800.0 10824.6 NA 222 NA NA NA NA 603 NA NA NA NA 10976 NA NA NA NA 5774 NA NA NA
1617310800.0 10824.8 NA 227 NA NA NA NA 627 NA NA NA NA 11299 NA NA NA NA 3737 NA NA NA
1617310800.0 10825.0 NA 205 NA NA NA NA 571 NA NA NA NA 11057 NA NA NA NA 4107 NA NA NA
1617310800.0 10826.0 NA 224 NA NA NA NA 659 NA NA NA NA 11194 NA NA NA NA 6275 NA NA NA
1617310800.0 10842.0 NA 211 NA NA NA NA 590 NA NA NA NA 11171 NA NA NA NA 4697 NA NA NA
1617310800.0 10842.501 NA 220 112 0 NA NA 575 322 0 NA NA 10925 2519 474 NA NA 5037 1417 534 NA
1617310800.0 10859.0 NA 221 NA NA NA NA 573 NA NA NA NA 12522 NA NA NA NA 4533 NA NA NA
1617310800.0 10871.0 NA 218 NA NA NA NA 657 NA NA NA NA 11115 NA NA NA NA 4267 NA NA NA
1617310800.0 109.0 80 105 NA NA NA 250 473 NA NA NA 98795 3358 NA NA NA 53454 1270 NA NA NA
1617310800.0 11.0 NA 128 NA NA NA NA 518 NA NA NA NA 10582 NA NA NA NA 5072 NA NA NA
1617310800.0 110.0 64 100 NA NA NA 189 426 NA NA NA 7588 1956 NA NA NA 8564 716 NA NA NA
1617310800.0 1102.0 NA 121 NA NA NA NA 531 NA NA NA NA 11521 NA NA NA NA 6963 NA NA NA
1617310800.0 11024.0 NA 423 NA NA NA NA 855 NA NA NA NA 26213 NA NA NA NA 19010 NA NA NA
1617310800.0 11024.15 NA 452 NA NA NA NA 918 NA NA NA NA 25626 NA NA NA NA 19080 NA NA NA
1617310800.0 11024.2 NA 463 NA NA NA NA 852 NA NA NA NA 28177 NA NA NA NA 16445 NA NA NA
1617310800.0 11024.3 NA 443 NA NA NA NA 833 NA NA NA NA 26430 NA NA NA NA 18642 NA NA NA
1617310800.0 11024.6 NA 443 NA NA NA NA 847 NA NA NA NA 26238 NA NA NA NA 19463 NA NA NA
1617310800.0 11025.0 NA 458 NA NA NA NA 887 NA NA NA NA 27062 NA NA NA NA 15759 NA NA NA
1617310800.0 111.0 62 96 NA NA NA 219 496 NA NA NA 10010 1683 NA NA NA 12594 2638 NA NA NA
1617310800.0 112.0 80 104 NA NA NA 245 500 NA NA NA 63434 3808 NA NA NA 52056 1415 NA NA NA
1617310800.0 11224.0 NA 183 NA NA NA NA 535 NA NA NA NA 3720 NA NA NA NA 4088 NA NA NA
1617310800.0 11224.6 NA 182 NA NA NA NA 608 NA NA NA NA 3191 NA NA NA NA 3509 NA NA NA
1617310800.0 113.0 81 104 NA NA NA 253 493 NA NA NA 61772 2174 NA NA NA 63697 774 NA NA NA
1617310800.0 114.0 75 129 NA NA NA 241 436 NA NA NA 61597 2200 NA NA NA 55952 786 NA NA NA
1617310800.0 115.0 80 123 NA NA NA 248 436 NA NA NA 80251 3677 NA NA NA 83648 2704 NA NA NA
1617310800.0 116.0 81 111 NA NA NA 253 505 NA NA NA 106149 2598 NA NA NA 61223 1231 NA NA NA
1617310800.0 11604.0 NA 266 NA NA NA NA 746 NA NA NA NA 7376 NA NA NA NA 6060 NA NA NA
1617310800.0 11606.0 NA 265 NA NA NA NA 693 NA NA NA NA 7463 NA NA NA NA 13610 NA NA NA
1617310800.0 11607.0 NA 269 NA NA NA NA 761 NA NA NA NA 7765 NA NA NA NA 11223 NA NA NA
1617310800.0 11608.0 NA 269 NA NA NA NA 727 NA NA NA NA 7561 NA NA NA NA 11252 NA NA NA
1617310800.0 11609.0 NA 280 NA NA NA NA 779 NA NA NA NA 8283 NA NA NA NA 13873 NA NA NA
1617310800.0 11634.24 NA 230 415 NA NA NA 698 890 NA NA NA 6038 7645 NA NA NA 14636 5478 NA NA
1617310800.0 11634.911 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1617310800.0 11640.0 NA 270 NA NA NA NA 802 NA NA NA NA 7660 NA NA NA NA 13677 NA NA NA
1617310800.0 11650.0 NA 294 NA NA NA NA 758 NA NA NA NA 9428 NA NA NA NA 7968 NA NA NA
1617310800.0 11650.501 NA 302 116 0 NA NA 716 345 0 NA NA 8762 2780 488 NA NA 9086 1482 550 NA
1617310800.0 11650.911 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA
1617310800.0 117.0 80 120 NA NA NA 246 501 NA NA NA 103467 3053 NA NA NA 89828 1224 NA NA NA
1617310800.0 11725.0 NA 279 NA NA NA NA 729 NA NA NA NA 7908 NA NA NA NA 11846 NA NA NA
1617310800.0 11834.99 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1617310800.0 119.0 85 103 NA NA NA 260 411 NA NA NA 70620 2650 NA NA NA 49247 1779 NA NA NA
1617310800.0 12.0 NA 122 NA NA NA NA 483 NA NA NA NA 10950 NA NA NA NA 3771 NA NA NA
1617310800.0 120.0 63 100 NA NA NA 206 479 NA NA NA 3709 2827 NA NA NA 4950 3468 NA NA NA
1617310800.0 122.0 73 100 NA NA NA 230 511 NA NA NA 19630 1810 NA NA NA 20414 2924 NA NA NA
1617310800.0 125.0 85 104 NA NA NA 248 480 NA NA NA 73670 2467 NA NA NA 54553 924 NA NA NA
1617310800.0 126.0 62 97 NA NA NA 219 496 NA NA NA 53871 2118 NA NA NA 47162 1233 NA NA NA
1617310800.0 12634.99 NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA NA 0 NA NA NA
1617310800.0 127.0 67 97 NA NA NA 193 467 NA NA NA 29442 2377 NA NA NA 28463 1427 NA NA NA
