Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617224400.0 10824.502 200 92 0 392 661 0 2559 764 171 1403 802 231
1617224400.0 10824.512 207 98 0 397 711 0 2751 332 132 1372 323 155
1617224400.0 10824.522 205 92 0 370 649 0 2861 335 145 1429 868 192
1617224400.0 10842.502 213 92 0 393 662 0 2466 724 171 964 975 301
1617224400.0 11634.502 215 126 0 520 679 0 4251 863 170 5046 1444 415
1617224400.0 11634.512 219 127 0 490 733 0 4395 615 141 5152 1251 403
1617224400.0 11634.522 238 109 0 506 689 0 4783 585 144 5425 1079 344
1617224400.0 11650.502 209 125 0 505 682 0 4405 837 171 5264 1403 504
1617224400.0 136.885502 117 97 0 221 671 0 948 1149 120 856 1078 211
1617224400.0 136.885512 125 88 0 229 695 0 824 598 139 805 781 577
1617224400.0 136.885522 117 90 0 233 652 0 877 587 131 647 692 223
1617224400.0 136.888502 117 104 0 222 673 0 818 1103 114 733 1108 135
1617224400.0 136.888512 117 77 0 219 693 0 909 656 140 823 884 201
1617224400.0 136.888522 117 94 0 226 648 0 867 598 133 804 713 581
