Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617656400.0 10824.502 197 101 0 389 762 0 2559 675 178 1222 1309 224
1617656400.0 10824.512 209 90 0 399 739 0 2657 371 143 1362 568 204
1617656400.0 10824.522 196 82 0 390 666 0 2603 342 145 1588 493 204
1617656400.0 10842.502 207 103 0 399 759 0 2772 525 176 1619 672 222
1617656400.0 11634.502 208 120 0 514 783 0 4239 746 184 5160 1204 290
1617656400.0 11634.512 206 120 0 497 736 0 4306 618 142 5142 1106 262
1617656400.0 11634.522 202 129 0 513 705 0 4299 588 148 5188 1168 241
1617656400.0 11650.502 199 118 0 514 778 0 4424 715 181 5179 1207 912
1617656400.0 136.885502 119 96 0 226 755 0 869 1022 127 736 1331 201
1617656400.0 136.885512 116 93 0 232 705 0 784 654 137 662 959 173
1617656400.0 136.885522 119 95 0 227 672 0 888 599 137 781 646 215
1617656400.0 136.888502 117 105 0 226 763 0 863 1020 124 721 1376 179
1617656400.0 136.888512 119 95 0 225 700 0 962 698 134 984 739 157
1617656400.0 136.888522 116 86 0 222 667 0 768 608 129 670 629 152
