Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617051600.0 10824.502 215 105 0 388 698 0 2417 711 173 1241 1046 252
1617051600.0 10824.512 202 101 0 398 714 0 2509 351 137 1360 804 165
1617051600.0 10824.522 205 81 0 386 661 0 2467 337 145 1462 945 463
1617051600.0 10842.502 222 94 0 416 699 0 2358 668 174 829 1091 263
1617051600.0 11634.502 242 130 0 512 728 0 2636 820 170 3132 1394 563
1617051600.0 11634.512 218 133 0 498 740 0 2541 622 142 3332 1316 463
1617051600.0 11634.522 218 112 0 514 704 0 2751 591 144 3264 1309 316
1617051600.0 11650.502 204 129 0 499 723 0 2496 823 168 3330 1410 343
1617051600.0 136.885502 119 101 0 223 711 0 797 874 121 754 879 152
1617051600.0 136.885512 118 95 0 219 708 0 812 652 140 770 948 268
1617051600.0 136.885522 110 96 0 233 669 0 863 593 135 817 600 228
1617051600.0 136.888502 117 102 0 225 706 0 973 901 118 769 889 150
1617051600.0 136.888512 124 92 0 230 696 0 790 676 141 810 966 269
1617051600.0 136.888522 117 97 0 220 667 0 765 601 134 723 601 228
