Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1616965200.0 10824.502 217 95 0 397 708 0 2486 838 183 1371 801 271
1616965200.0 10824.512 212 101 0 408 711 0 2688 389 142 1699 674 168
1616965200.0 10824.522 213 95 0 385 663 0 2630 357 159 1282 809 244
1616965200.0 10842.502 211 94 0 381 701 0 2691 705 183 1207 718 270
1616965200.0 11634.502 239 115 0 506 725 0 3986 948 186 4795 1560 279
1616965200.0 11634.512 210 125 0 493 742 0 4148 630 150 4908 1776 230
1616965200.0 11634.522 219 122 0 484 705 0 4025 609 154 4791 945 236
1616965200.0 11650.502 227 124 0 493 727 0 3959 876 181 4799 1259 259
1616965200.0 136.885502 115 101 0 225 709 0 828 910 131 803 927 211
1616965200.0 136.885512 124 96 0 236 713 0 871 636 148 725 893 232
1616965200.0 136.885522 123 82 0 223 672 0 821 627 141 624 780 214
1616965200.0 136.888502 123 101 0 228 710 0 789 924 125 536 937 151
1616965200.0 136.888512 124 94 0 222 705 0 871 670 152 1200 918 235
1616965200.0 136.888522 117 82 0 219 669 0 873 619 142 675 796 216
