Timestamp WorkflowId PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617138000.0 10824.502 218 111 0 401 702 0 2957 678 166 1743 768 196
1617138000.0 10824.512 215 103 0 396 709 0 2615 371 134 1405 519 166
1617138000.0 10824.522 193 92 0 382 664 0 2812 337 144 1675 496 175
1617138000.0 10842.502 215 108 0 388 700 0 2662 568 166 1785 795 196
1617138000.0 11634.502 268 116 0 505 731 0 2986 905 169 3369 1488 250
1617138000.0 11634.512 269 130 0 521 742 0 2513 631 136 2734 1224 175
1617138000.0 11634.522 267 126 0 505 704 0 3032 613 142 3369 1034 170
1617138000.0 11650.502 250 118 0 498 727 0 2998 798 170 3374 1170 208
1617138000.0 136.885502 117 107 0 219 709 0 912 1006 118 630 912 147
1617138000.0 136.885512 123 94 0 229 715 0 734 622 133 702 686 157
1617138000.0 136.885522 124 96 0 224 670 0 886 589 131 816 600 177
1617138000.0 136.888502 124 109 0 224 706 0 798 935 118 755 1015 145
1617138000.0 136.888512 122 81 0 227 703 0 756 638 137 786 648 173
1617138000.0 136.888522 122 92 0 222 672 0 886 605 133 742 587 181
