Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1617570000.0 136.795 NA 151 504 0 NA NA NA 1094 1718 0 NA NA NA 1970 61708 1771 NA NA NA 808 19771 1816 NA NA
1617570000.0 136.796 NA 130 482 0 NA NA NA 1080 1728 0 NA NA NA 2159 57704 1741 NA NA NA 813 18840 1794 NA NA
1617570000.0 136.797 NA 142 455 0 NA NA NA 1079 1648 0 NA NA NA 2712 61142 1896 NA NA NA 1004 19639 1934 NA NA
1617570000.0 136.8 NA 139 531 0 NA NA NA 1080 1757 0 NA NA NA 2219 58337 1983 NA NA NA 863 19367 2037 NA NA
1617570000.0 136.801 NA 132 482 0 NA NA NA 1079 1674 0 NA NA NA 2206 34460 2029 NA NA NA 871 12511 2082 NA NA
1617570000.0 136.807 NA 149 495 0 NA NA NA 1073 1715 0 NA NA NA 2122 60927 1785 NA NA NA 797 19303 1837 NA NA
1617570000.0 136.808 NA 137 519 0 NA NA NA 1084 1751 0 NA NA NA 2339 52353 1844 NA NA NA 901 18290 1890 NA NA
1617570000.0 136.809 NA 141 441 0 NA NA NA 1084 1661 0 NA NA NA 2543 57365 1854 NA NA NA 935 18272 1900 NA NA
1617570000.0 136.811 NA 133 539 0 NA NA NA 1076 1749 0 NA NA NA 2302 54335 1755 NA NA NA 828 18243 1799 NA NA
1617570000.0 136.812 NA 144 525 0 NA NA NA 1084 1728 0 NA NA NA 2200 63839 2072 NA NA NA 813 20197 2124 NA NA
1617570000.0 136.813 NA 143 478 0 NA NA NA 1074 1690 0 NA NA NA 2505 44493 1656 NA NA NA 1034 16085 1721 NA NA
1617570000.0 136.823 NA 132 554 0 NA NA NA 1076 1775 0 NA NA NA 2388 68996 1967 NA NA NA 899 21077 2017 NA NA
1617570000.0 136.8311 NA 196 0 NA NA NA NA 1168 0 NA NA NA NA 5496 238 NA NA NA NA 3176 268 NA NA NA
1617570000.0 136.83111 NA 195 0 NA NA NA NA 1201 0 NA NA NA NA 6543 239 NA NA NA NA 4110 275 NA NA NA
1617570000.0 136.837 NA 153 503 0 NA NA NA 1084 1744 0 NA NA NA 1892 65012 2003 NA NA NA 723 20456 2078 NA NA
1617570000.0 136.84 NA 139 502 0 NA NA NA 1079 1690 0 NA NA NA 2451 67834 2028 NA NA NA 927 20842 2081 NA NA
1617570000.0 136.841 NA 128 486 0 NA NA NA 1084 1696 0 NA NA NA 2452 70424 2089 NA NA NA 913 21853 2145 NA NA
1617570000.0 136.844 NA 136 454 0 NA NA NA 1084 1705 0 NA NA NA 2764 65634 1917 NA NA NA 1041 20014 1961 NA NA
1617570000.0 136.85 NA 149 566 0 NA NA NA 1075 1786 0 NA NA NA 1964 52631 2218 NA NA NA 751 18296 2274 NA NA
1617570000.0 136.8501 NA 141 459 0 NA NA NA 1083 1691 0 NA NA NA 1839 68745 1894 NA NA NA 752 20753 1964 NA NA
1617570000.0 136.851 NA 135 434 0 NA NA NA 1079 1673 0 NA NA NA 2417 56607 1742 NA NA NA 922 18832 1793 NA NA
1617570000.0 136.852 NA 140 504 0 NA NA NA 1085 1697 0 NA NA NA 2146 67397 1804 NA NA NA 871 20397 1847 NA NA
1617570000.0 136.853 NA 138 529 0 NA NA NA 1080 1732 0 NA NA NA 2013 58840 1930 NA NA NA 786 19201 1978 NA NA
1617570000.0 136.854 NA 137 453 0 NA NA NA 1087 1661 0 NA NA NA 2231 65780 1985 NA NA NA 877 20826 2043 NA NA
1617570000.0 136.856 NA 133 491 0 NA NA NA 1074 1674 0 NA NA NA 1985 42367 1659 NA NA NA 842 14793 1726 NA NA
1617570000.0 136.857 NA 136 445 0 NA NA NA 1079 1661 0 NA NA NA 2619 58425 1861 NA NA NA 987 18618 2089 NA NA
1617570000.0 136.86 NA 152 452 0 NA NA NA 1084 1661 0 NA NA NA 2401 59353 1916 NA NA NA 907 18875 1972 NA NA
1617570000.0 136.868 NA 146 506 0 NA NA NA 1075 1710 0 NA NA NA 2073 64266 2057 NA NA NA 829 20085 2114 NA NA
1617570000.0 136.873 NA 137 457 0 NA NA NA 1079 1689 0 NA NA NA 2333 68518 2041 NA NA NA 906 20891 2092 NA NA
1617570000.0 136.881 NA 134 460 0 NA NA NA 1082 1677 0 NA NA NA 2617 71112 2075 NA NA NA 1007 21875 2124 NA NA
1617570000.0 136.884 NA 134 462 0 NA NA NA 1084 1690 0 NA NA NA 2694 68081 1870 NA NA NA 1030 20711 1921 NA NA
