Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobTime1 TotalJobTime2 TotalJobTime3
1617138000.0 115.0 172 193 NA 588 572 NA 2268 745 NA 1237 566 NA
1617138000.0 116.0 178 232 NA 585 576 NA 2317 743 NA 1057 402 NA
1617138000.0 11601.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11602.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11603.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11604.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11605.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11606.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11607.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11608.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11609.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11630.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.1 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.24 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.5 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.501 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.511 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.521 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.7 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.91 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11634.911 170 0 NA 549 0 NA 4988 0 NA 4486 0 NA
1617138000.0 11640.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11643.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11646.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11650.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11650.501 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11650.911 169 0 NA 547 0 NA 3946 0 NA 3791 0 NA
1617138000.0 117.0 177 195 NA 577 575 NA 2818 1123 NA 1608 1053 NA
1617138000.0 11723.17 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11725.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 118.0 179 202 NA 588 583 NA 3263 774 NA 1515 661 NA
1617138000.0 11834.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11834.13 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11834.24 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 11834.99 NA 569 0 NA 1015 0 NA 6866 0 NA 5771 0
1617138000.0 11846.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 119.0 176 192 NA 588 560 NA 2083 778 NA 1311 605 NA
1617138000.0 11925.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 12.0 NA 214 NA NA 611 NA NA 2239 NA NA 1431 NA
1617138000.0 120.0 156 192 NA 550 572 NA 883 870 NA 887 639 NA
1617138000.0 12034.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 121.0 176 193 NA 582 574 NA 2880 913 NA 1924 810 NA
1617138000.0 122.0 157 189 NA 561 569 NA 1192 504 NA 1340 445 NA
1617138000.0 12434.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 125.0 177 191 NA 584 575 NA 2397 956 NA 1641 1034 NA
1617138000.0 126.0 159 189 NA 563 565 NA 1413 704 NA 965 423 NA
1617138000.0 12634.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 12634.99 NA 434 0 NA 899 0 NA 4286 0 NA 4019 0
1617138000.0 127.0 160 189 NA 539 568 NA 1208 704 NA 831 440 NA
1617138000.0 128.0 158 189 NA 539 573 NA 872 742 NA 717 533 NA
1617138000.0 12834.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 129.0 158 186 NA 540 563 NA 852 692 NA 1119 572 NA
1617138000.0 13.0 NA 196 NA NA 575 NA NA 697 NA NA 732 NA
1617138000.0 130.0 158 186 NA 540 564 NA 869 755 NA 1078 667 NA
1617138000.0 1301.0 175 235 NA 555 618 NA 1959 1551 NA 1541 1039 NA
1617138000.0 1301.17 159 295 NA 538 787 NA 1573 2671 NA 1221 944 NA
1617138000.0 1302.0 181 241 NA 570 734 NA 3024 1343 NA 1866 687 NA
1617138000.0 1302.17 162 301 NA 547 816 NA 3431 2714 NA 1923 955 NA
1617138000.0 1302.18 166 292 NA 553 686 NA 3285 2748 NA 2152 2473 NA
1617138000.0 1302.181 174 374 NA 555 793 NA 3395 2591 NA 1466 900 NA
1617138000.0 1303.0 173 240 NA 565 629 NA 5234 1542 NA 2430 1037 NA
1617138000.0 1303.17 167 308 NA 554 798 NA 5847 2702 NA 3205 1085 NA
1617138000.0 13034.0 NA 0 NA NA 0 NA NA 0 NA NA 0 NA
1617138000.0 13034.99 NA 434 0 NA 924 0 NA 4138 0 NA 4073 0
1617138000.0 1304.18 158 281 NA 541 675 NA 1972 2600 NA 1183 1587 NA
1617138000.0 1304.181 159 278 NA 545 690 NA 2169 2707 NA 2065 2895 NA
1617138000.0 1304.182 163 288 NA 547 790 NA 1979 2534 NA 1010 893 NA
1617138000.0 1306.0 NA 231 NA NA 735 NA NA 1753 NA NA 1666 NA
1617138000.0 1307.0 NA 232 NA NA 728 NA NA 1834 NA NA 1844 NA
1617138000.0 1308.0 NA 231 NA NA 729 NA NA 1543 NA NA 1600 NA
1617138000.0 1309.0 NA 316 NA NA 736 NA NA 1657 NA NA 2066 NA
1617138000.0 131.0 158 186 NA 544 561 NA 1328 717 NA 1220 401 NA
1617138000.0 1310.0 NA 241 NA NA 735 NA NA 1648 NA NA 1834 NA
1617138000.0 1311.0 NA 265 NA NA 729 NA NA 1707 NA NA 1932 NA
1617138000.0 1312.0 NA 239 NA NA 730 NA NA 1547 NA NA 1304 NA
1617138000.0 1313.0 NA 316 NA NA 733 NA NA 1625 NA NA 2077 NA
1617138000.0 1314.0 NA 241 NA NA 731 NA NA 1708 NA NA 1700 NA
1617138000.0 1315.0 NA 234 NA NA 726 NA NA 1626 NA NA 1982 NA
1617138000.0 1316.0 NA 231 NA NA 711 NA NA 1632 NA NA 1307 NA
1617138000.0 1317.0 NA 247 NA NA 732 NA NA 1630 NA NA 1848 NA
1617138000.0 1318.0 NA 270 NA NA 729 NA NA 1642 NA NA 1915 NA
1617138000.0 1319.0 NA 232 NA NA 731 NA NA 1730 NA NA 1764 NA
1617138000.0 132.0 176 272 NA 589 573 NA 2436 704 NA 1129 376 NA
1617138000.0 1320.0 NA 251 NA NA 732 NA NA 1655 NA NA 1861 NA
1617138000.0 1321.0 NA 247 NA NA 729 NA NA 1648 NA NA 1877 NA
1617138000.0 1322.0 NA 259 NA NA 731 NA NA 1565 NA NA 1820 NA
1617138000.0 1323.0 NA 232 NA NA 729 NA NA 1677 NA NA 1793 NA
1617138000.0 1324.0 NA 238 NA NA 739 NA NA 1911 NA NA 2586 NA
1617138000.0 1325.0 NA 261 NA NA 740 NA NA 1693 NA NA 1843 NA
1617138000.0 1325.1 NA 244 NA NA 736 NA NA 1389 NA NA 797 NA
1617138000.0 1325.2 NA 242 NA NA 736 NA NA 1667 NA NA 1642 NA
1617138000.0 1325.3 NA 243 NA NA 735 NA NA 1797 NA NA 1555 NA
1617138000.0 1325.4 NA 242 NA NA 722 NA NA 1680 NA NA 1670 NA
1617138000.0 1325.9 NA 289 NA NA 757 NA NA 1837 NA NA 1979 NA
1617138000.0 1325.91 NA 275 NA NA 765 NA NA 1770 NA NA 1866 NA
1617138000.0 1326.0 NA 236 NA NA 735 NA NA 1722 NA NA 1537 NA
1617138000.0 1327.0 NA 235 NA NA 730 NA NA 1629 NA NA 1657 NA
1617138000.0 1328.0 NA 269 NA NA 734 NA NA 1679 NA NA 1914 NA
1617138000.0 1329.0 NA 239 NA NA 732 NA NA 1451 NA NA 974 NA
1617138000.0 133.0 171 203 NA 587 564 NA 3529 813 NA 1597 653 NA
