Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1616886000.0 1.0 87 82 190 NA NA NA NA NA 185 367 293 NA NA NA NA NA 1639 471 957 NA NA NA NA NA 1484 694 1384 NA NA NA NA NA
1616886000.0 10.0 NA 113 462 0 NA NA NA NA NA 371 562 0 NA NA NA NA NA 2326 3223 513 NA NA NA NA NA 1874 3273 645 NA NA NA NA
1616886000.0 1000.0 NA 389 152 0 46 NA NA NA NA 515 254 0 89 NA NA NA NA 2774 1346 644 254 NA NA NA NA 3247 2416 1115 282 NA NA NA
1616886000.0 10001.0 NA 188 667 83 0 NA NA NA NA 488 819 133 0 NA NA NA NA 1434 2334 412 1835 NA NA NA NA 2475 4008 1462 2401 NA NA NA
1616886000.0 10002.0 NA 190 667 83 0 NA NA NA NA 488 797 134 0 NA NA NA NA 1369 2220 384 1739 NA NA NA NA 2160 4933 989 2083 NA NA NA
1616886000.0 10003.0 NA 194 661 83 0 NA NA NA NA 480 820 135 0 NA NA NA NA 1454 2349 418 1853 NA NA NA NA 4444 4243 1266 2589 NA NA NA
1616886000.0 10004.0 NA 184 660 83 0 NA NA NA NA 480 823 135 0 NA NA NA NA 1405 2320 405 1825 NA NA NA NA 2522 5025 1220 2217 NA NA NA
1616886000.0 10005.0 NA 189 664 91 0 NA NA NA NA 488 825 134 0 NA NA NA NA 1433 2316 402 1832 NA NA NA NA 2740 7218 804 2411 NA NA NA
1616886000.0 10006.0 NA 188 662 82 0 NA NA NA NA 482 796 133 0 NA NA NA NA 1418 2295 407 1842 NA NA NA NA 2035 4685 1076 2244 NA NA NA
1616886000.0 10007.0 NA 188 661 94 0 NA NA NA NA 481 826 143 0 NA NA NA NA 1445 2358 430 1841 NA NA NA NA 2601 4000 1423 2203 NA NA NA
1616886000.0 10008.0 NA 188 660 93 0 NA NA NA NA 481 822 143 0 NA NA NA NA 1452 2348 428 1869 NA NA NA NA 2225 4140 1127 2984 NA NA NA
1616886000.0 10009.0 NA 193 660 94 0 NA NA NA NA 479 792 144 0 NA NA NA NA 1497 2360 429 1835 NA NA NA NA 2513 3891 1362 2395 NA NA NA
1616886000.0 1001.0 NA 362 178 0 0 0 0 0 NA 462 229 0 0 0 0 0 NA 2415 502 78 95 284 130 256 NA 2979 1223 486 492 389 231 301
1616886000.0 1002.0 NA 415 63 NA NA NA NA NA NA 503 124 NA NA NA NA NA NA 3005 438 NA NA NA NA NA NA 3873 379 NA NA NA NA NA
1616886000.0 10023.0 NA 188 655 83 0 NA NA NA NA 473 789 133 0 NA NA NA NA 1431 2279 397 1839 NA NA NA NA 2147 3780 856 2224 NA NA NA
1616886000.0 10024.0 NA 213 682 95 0 NA NA NA NA 488 818 145 0 NA NA NA NA 1506 2467 410 1797 NA NA NA NA 1992 3567 919 2165 NA NA NA
1616886000.0 10024.1 NA 213 266 0 NA NA NA NA NA 480 397 0 NA NA NA NA NA 1595 837 319 NA NA NA NA NA 4546 1530 435 NA NA NA NA
1616886000.0 10024.2 NA 210 675 0 NA NA NA NA NA 482 812 0 NA NA NA NA NA 1617 2579 1862 NA NA NA NA NA 3182 4320 2623 NA NA NA NA
1616886000.0 10024.3 NA 213 242 0 NA NA NA NA NA 486 341 0 NA NA NA NA NA 1603 868 278 NA NA NA NA NA 2514 1454 353 NA NA NA NA
1616886000.0 10024.4 NA 211 676 0 NA NA NA NA NA 481 841 0 NA NA NA NA NA 1679 2589 1881 NA NA NA NA NA 3692 4179 2605 NA NA NA NA
1616886000.0 10024.5 NA 211 269 0 NA NA NA NA NA 482 365 0 NA NA NA NA NA 1662 902 330 NA NA NA NA NA 2541 2438 456 NA NA NA NA
1616886000.0 10024.6 NA 212 668 0 NA NA NA NA NA 491 810 0 NA NA NA NA NA 1631 2577 1840 NA NA NA NA NA 2501 4837 2396 NA NA NA NA
1616886000.0 10025.0 NA 199 667 84 0 NA NA NA NA 482 833 134 0 NA NA NA NA 1538 2465 409 1849 NA NA NA NA 2567 4110 1181 2649 NA NA NA
1616886000.0 10026.0 NA 214 681 93 0 NA NA NA NA 475 844 144 0 NA NA NA NA 1671 2742 431 1901 NA NA NA NA 2494 4825 1511 2931 NA NA NA
1616886000.0 1003.0 NA 314 0 NA NA NA NA NA NA 408 0 NA NA NA NA NA NA 3058 474 NA NA NA NA NA NA 3037 621 NA NA NA NA NA
1616886000.0 1004.0 NA 309 162 0 0 0 0 NA NA 409 213 0 0 0 0 NA NA 991 327 79 91 283 270 NA NA 1796 1213 387 217 371 369 NA
1616886000.0 10042.0 NA 196 669 94 0 NA NA NA NA 493 817 145 0 NA NA NA NA 1534 2475 432 1854 NA NA NA NA 2129 4648 882 2559 NA NA NA
1616886000.0 10059.0 NA 217 688 93 0 NA NA NA NA 476 846 144 0 NA NA NA NA 1699 3148 442 1899 NA NA NA NA 2197 5583 844 3154 NA NA NA
1616886000.0 10071.0 NA 202 675 90 0 NA NA NA NA 485 803 135 0 NA NA NA NA 1541 2516 411 1880 NA NA NA NA 2558 5871 1251 2577 NA NA NA
1616886000.0 101.0 79 NA NA NA NA NA NA NA 148 NA NA NA NA NA NA NA 925 NA NA NA NA NA NA NA 1210 NA NA NA NA NA NA NA
1616886000.0 1010.0 NA 27 71 0 NA NA NA NA NA 68 120 0 NA NA NA NA NA 110 188 90 NA NA NA NA NA 587 252 136 NA NA NA NA
1616886000.0 102.0 81 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 728 NA NA NA NA NA NA NA 920 NA NA NA NA NA NA NA
1616886000.0 1020.0 NA 40 NA NA NA NA NA NA NA 101 NA NA NA NA NA NA NA 228 NA NA NA NA NA NA NA 1172 NA NA NA NA NA NA
1616886000.0 10224.0 NA 386 954 0 NA NA NA NA NA 595 1147 0 NA NA NA NA NA 3925 4906 1806 NA NA NA NA NA 4772 7454 2240 NA NA NA NA
1616886000.0 10225.0 NA 376 896 0 NA NA NA NA NA 578 1115 0 NA NA NA NA NA 3704 4408 1799 NA NA NA NA NA 6288 7037 2104 NA NA NA NA
1616886000.0 103.0 42 0 0 NA NA NA NA NA 89 0 0 NA NA NA NA NA 678 223 1331 NA NA NA NA NA 623 290 2069 NA NA NA NA NA
1616886000.0 1030.0 NA 175 38 0 NA NA NA NA NA 312 85 0 NA NA NA NA NA 8401 248 66 NA NA NA NA NA 3677 296 126 NA NA NA NA
1616886000.0 10424.0 NA 210 678 0 NA NA NA NA NA 488 808 0 NA NA NA NA NA 1637 2590 1886 NA NA NA NA NA 3097 3853 2465 NA NA NA NA
1616886000.0 105.0 87 82 22 NA NA NA NA NA 184 367 65 NA NA NA NA NA 1561 469 115 NA NA NA NA NA 1127 490 196 NA NA NA NA NA
1616886000.0 106.0 43 0 0 NA NA NA NA NA 89 0 0 NA NA NA NA NA 808 233 1381 NA NA NA NA NA 1000 515 2423 NA NA NA NA NA
1616886000.0 107.0 89 87 434 NA NA NA NA NA 186 367 540 NA NA NA NA NA 3603 516 1626 NA NA NA NA NA 2518 965 2260 NA NA NA NA NA
1616886000.0 108.0 94 87 443 NA NA NA NA NA 192 367 542 NA NA NA NA NA 4428 562 1795 NA NA NA NA NA 2296 1449 3008 NA NA NA NA NA
1616886000.0 10823.0 64 188 662 83 0 NA NA NA 123 478 828 134 0 NA NA NA 1786 1452 2334 402 1860 NA NA NA 1292 2382 4540 732 2389 NA NA NA
1616886000.0 10824.0 71 211 685 95 0 NA NA NA 133 479 850 146 0 NA NA NA 4319 1575 2517 417 1799 NA NA NA 2743 2509 4428 1082 2444 NA NA NA
1616886000.0 10825.0 68 204 673 86 0 NA NA NA 128 473 838 134 0 NA NA NA 3469 1510 2396 387 1784 NA NA NA 2119 2247 6295 749 2184 NA NA NA
1616886000.0 10826.0 76 215 682 94 0 NA NA NA 140 472 820 144 0 NA NA NA 6578 1618 2746 407 1871 NA NA NA 5121 2180 3399 1040 2265 NA NA NA
1616886000.0 10842.0 57 187 660 94 0 NA NA NA 111 485 818 144 0 NA NA NA 1259 1271 2157 407 1763 NA NA NA 1471 1763 6781 1305 2131 NA NA NA
1616886000.0 109.0 93 88 438 NA NA NA NA NA 189 359 543 NA NA NA NA NA 4268 537 1710 NA NA NA NA NA 2191 684 2300 NA NA NA NA NA
