Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617487200.0 1000.0 NA 470 151 0 47 NA 579 244 0 90 NA 2046 860 467 125 NA 1747 775 676 130
1617487200.0 10001.0 NA 189 654 80 0 NA 476 811 133 0 NA 522 875 171 1326 NA 686 1822 524 1631
1617487200.0 10002.0 NA 191 651 80 0 NA 477 808 132 0 NA 531 912 180 1300 NA 478 1277 423 1483
1617487200.0 10003.0 NA 196 654 81 0 NA 476 818 133 0 NA 532 941 178 1321 NA 620 1541 958 1466
1617487200.0 10004.0 NA 187 654 80 0 NA 473 807 132 0 NA 519 862 173 1299 NA 610 1812 479 1448
1617487200.0 10005.0 NA 188 660 80 0 NA 476 787 132 0 NA 510 872 186 1360 NA 494 1132 1157 1485
1617487200.0 10006.0 NA 188 650 80 0 NA 477 811 131 0 NA 499 876 184 1307 NA 548 1427 744 1499
1617487200.0 10007.0 NA 189 651 91 0 NA 476 817 142 0 NA 543 939 195 1304 NA 734 2063 378 1466
1617487200.0 10008.0 NA 190 652 90 0 NA 474 817 141 0 NA 539 908 192 1313 NA 712 1560 421 1508
1617487200.0 10009.0 NA 190 654 91 0 NA 476 806 142 0 NA 532 950 193 1336 NA 619 2083 429 1442
1617487200.0 10023.0 NA 187 653 80 0 NA 476 816 133 0 NA 498 891 175 1303 NA 558 1987 989 1538
1617487200.0 10024.0 NA 213 672 91 0 NA 478 839 145 0 NA 706 1197 200 1347 NA 849 1981 801 1469
1617487200.0 10024.2 NA 215 672 0 NA NA 476 831 0 NA NA 712 1201 1331 NA NA 793 1867 1472 NA
1617487200.0 10024.4 NA 214 677 0 NA NA 486 838 0 NA NA 667 1172 1442 NA NA 1505 1335 1883 NA
1617487200.0 10024.6 NA 213 663 0 NA NA 479 827 0 NA NA 667 1173 1298 NA NA 577 1186 1417 NA
1617487200.0 10025.0 NA 201 660 81 0 NA 476 817 133 0 NA 590 1003 177 1347 NA 616 1229 406 1591
1617487200.0 10026.0 NA 218 680 81 0 NA 470 832 133 0 NA 718 1335 182 1398 NA 736 1666 357 1760
1617487200.0 10042.0 NA 198 664 99 0 NA 475 830 143 0 NA 608 1049 198 1365 NA 563 1545 373 1690
1617487200.0 10059.0 NA 227 681 91 0 NA 478 807 141 0 NA 791 1637 199 1351 NA 616 1625 449 1508
1617487200.0 10071.0 NA 207 667 90 0 NA 479 818 142 0 NA 659 1196 197 1353 NA 613 2607 691 1586
1617487200.0 10224.0 NA 351 957 0 NA NA 529 1155 0 NA NA 3127 5892 1416 NA NA 13799 6355 1520 NA
1617487200.0 10225.0 NA 333 927 0 NA NA 539 1133 0 NA NA 4052 4355 1346 NA NA 14475 3510 1501 NA
1617487200.0 10424.0 NA 211 672 0 NA NA 476 832 0 NA NA 680 1129 1333 NA NA 1122 2072 1579 NA
1617487200.0 107.0 84 86 458 NA NA 177 361 554 NA NA 3061 366 499 NA NA 1719 361 611 NA NA
1617487200.0 108.0 93 90 464 NA NA 187 368 567 NA NA 3938 395 589 NA NA 1977 364 628 NA NA
1617487200.0 10823.0 63 189 654 80 0 122 471 817 133 0 1454 547 931 176 1314 1265 523 1607 434 1420
1617487200.0 10824.0 71 216 681 91 0 132 480 833 142 0 4448 745 1204 221 1346 2689 631 1907 598 1542
1617487200.0 10825.0 67 201 664 81 0 127 459 822 132 0 3099 661 1062 188 1333 2493 663 1512 662 1486
