Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1616886000.0 1.0 52 75 125 NA NA NA NA NA 96 146 183 NA NA NA NA NA 1338 242 490 NA NA NA NA NA 1360 261 513 NA NA NA NA NA
1616886000.0 10.0 NA 80 197 0 NA NA NA NA NA 147 256 0 NA NA NA NA NA 1552 1432 394 NA NA NA NA NA 1590 1483 423 NA NA NA NA
1616886000.0 1000.0 NA 219 126 0 40 NA NA NA NA 287 181 0 78 NA NA NA NA 1842 413 362 104 NA NA NA NA 1893 451 400 116 NA NA NA
1616886000.0 1001.0 NA 194 168 0 0 0 0 0 NA 249 217 0 0 0 0 0 NA 1282 267 5 39 415 24 410 NA 1330 285 15 53 422 37 430
1616886000.0 1002.0 NA 210 59 NA NA NA NA NA NA 278 99 NA NA NA NA NA NA 1578 117 NA NA NA NA NA NA 1632 128 NA NA NA NA NA
1616886000.0 10021.0 NA 87 128 0 NA NA NA NA NA 176 179 0 NA NA NA NA NA 432 456 163 NA NA NA NA NA 505 524 182 NA NA NA NA
1616886000.0 10023.0 NA 85 129 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 381 327 171 NA NA NA NA NA 444 433 202 NA NA NA NA
1616886000.0 10024.0 NA 92 132 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 451 441 188 NA NA NA NA NA 573 556 209 NA NA NA NA
1616886000.0 10025.0 NA 87 130 0 NA NA NA NA NA 176 180 0 NA NA NA NA NA 401 340 173 NA NA NA NA NA 456 420 198 NA NA NA NA
1616886000.0 10026.0 NA 91 132 0 NA NA NA NA NA 176 185 0 NA NA NA NA NA 451 499 193 NA NA NA NA NA 525 596 224 NA NA NA NA
1616886000.0 1003.0 NA 175 0 NA NA NA NA NA NA 246 0 NA NA NA NA NA NA 2024 235 NA NA NA NA NA NA 2101 263 NA NA NA NA NA
1616886000.0 1004.0 NA 176 131 0 0 0 0 NA NA 237 179 0 0 0 0 NA NA 358 153 5 37 404 402 NA NA 391 167 12 50 427 420 NA
1616886000.0 101.0 80 NA NA NA NA NA NA NA 140 NA NA NA NA NA NA NA 742 NA NA NA NA NA NA NA 793 NA NA NA NA NA NA NA
1616886000.0 102.0 84 NA NA NA NA NA NA NA 139 NA NA NA NA NA NA NA 535 NA NA NA NA NA NA NA 543 NA NA NA NA NA NA NA
1616886000.0 10224.0 NA 124 202 0 NA NA NA NA NA 190 273 0 NA NA NA NA NA 1934 1683 202 NA NA NA NA NA 2921 2475 224 NA NA NA NA
1616886000.0 10225.0 NA 124 195 0 NA NA NA NA NA 193 274 0 NA NA NA NA NA 2034 1591 201 NA NA NA NA NA 3715 2558 241 NA NA NA NA
1616886000.0 103.0 46 84 187 NA NA NA NA NA 90 148 253 NA NA NA NA NA 469 151 256 NA NA NA NA NA 530 192 284 NA NA NA NA NA
1616886000.0 105.0 52 75 17 NA NA NA NA NA 96 148 53 NA NA NA NA NA 1365 254 2 NA NA NA NA NA 1443 312 10 NA NA NA NA NA
1616886000.0 106.0 36 0 0 NA NA NA NA NA 75 0 0 NA NA NA NA NA 260 56 108 NA NA NA NA NA 285 87 133 NA NA NA NA NA
1616886000.0 107.0 51 84 189 NA NA NA NA NA 97 148 253 NA NA NA NA NA 2453 263 336 NA NA NA NA NA 2487 287 386 NA NA NA NA NA
1616886000.0 108.0 55 81 192 NA NA NA NA NA 99 148 253 NA NA NA NA NA 3248 273 399 NA NA NA NA NA 3280 304 450 NA NA NA NA NA
1616886000.0 109.0 55 79 190 NA NA NA NA NA 99 148 253 NA NA NA NA NA 3927 281 427 NA NA NA NA NA 4155 308 478 NA NA NA NA NA
1616886000.0 11.0 NA 78 205 0 53 NA NA NA NA 146 264 0 90 NA NA NA NA 1229 608 396 28 NA NA NA NA 1271 647 427 39 NA NA NA
1616886000.0 110.0 46 76 186 NA NA NA NA NA 87 148 253 NA NA NA NA NA 382 246 278 NA NA NA NA NA 426 283 343 NA NA NA NA NA
1616886000.0 1102.0 NA 80 199 111 69 NA NA NA NA 146 262 170 112 NA NA NA NA 1633 1893 1417 117 NA NA NA NA 1703 1973 1437 137 NA NA NA
1616886000.0 111.0 52 82 189 NA NA NA NA NA 96 148 253 NA NA NA NA NA 1521 205 309 NA NA NA NA NA 1544 222 355 NA NA NA NA NA
1616886000.0 112.0 53 82 191 NA NA NA NA NA 98 148 253 NA NA NA NA NA 2524 269 338 NA NA NA NA NA 2557 293 385 NA NA NA NA NA
1616886000.0 113.0 54 87 190 NA NA NA NA NA 98 148 253 NA NA NA NA NA 2519 266 330 NA NA NA NA NA 2543 291 383 NA NA NA NA NA
1616886000.0 114.0 53 86 188 NA NA NA NA NA 97 148 253 NA NA NA NA NA 2316 267 336 NA NA NA NA NA 2344 295 369 NA NA NA NA NA
1616886000.0 115.0 54 77 190 NA NA NA NA NA 99 148 253 NA NA NA NA NA 3098 274 352 NA NA NA NA NA 3143 292 382 NA NA NA NA NA
1616886000.0 116.0 54 75 190 NA NA NA NA NA 99 148 253 NA NA NA NA NA 2866 272 363 NA NA NA NA NA 2890 304 394 NA NA NA NA NA
1616886000.0 117.0 54 84 190 NA NA NA NA NA 99 148 253 NA NA NA NA NA 3842 283 400 NA NA NA NA NA 4039 298 432 NA NA NA NA NA
1616886000.0 118.0 54 77 190 NA NA NA NA NA 99 148 254 NA NA NA NA NA 2796 272 390 NA NA NA NA NA 2822 293 418 NA NA NA NA NA
1616886000.0 119.0 53 84 191 NA NA NA NA NA 98 148 253 NA NA NA NA NA 2447 266 331 NA NA NA NA NA 2480 288 380 NA NA NA NA NA
1616886000.0 12.0 NA 79 195 0 NA NA NA NA NA 146 255 0 NA NA NA NA NA 1405 1457 408 NA NA NA NA NA 1434 1510 430 NA NA NA NA
1616886000.0 120.0 44 79 185 NA NA NA NA NA 87 148 253 NA NA NA NA NA 333 238 266 NA NA NA NA NA 400 269 304 NA NA NA NA NA
1616886000.0 121.0 55 85 189 NA NA NA NA NA 99 148 253 NA NA NA NA NA 3785 283 414 NA NA NA NA NA 3833 300 459 NA NA NA NA NA
1616886000.0 122.0 51 76 187 NA NA NA NA NA 95 148 253 NA NA NA NA NA 877 178 271 NA NA NA NA NA 943 199 305 NA NA NA NA NA
1616886000.0 123.1 168 NA NA NA NA NA NA NA 236 NA NA NA NA NA NA NA 383 NA NA NA NA NA NA NA 420 NA NA NA NA NA NA NA
1616886000.0 123.2 170 NA NA NA NA NA NA NA 238 NA NA NA NA NA NA NA 444 NA NA NA NA NA NA NA 476 NA NA NA NA NA NA NA
1616886000.0 123.3 158 NA NA NA NA NA NA NA 221 NA NA NA NA NA NA NA 259 NA NA NA NA NA NA NA 288 NA NA NA NA NA NA NA
1616886000.0 124.1 163 NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA 258 NA NA NA NA NA NA NA 293 NA NA NA NA NA NA NA
1616886000.0 124.2 169 NA NA NA NA NA NA NA 237 NA NA NA NA NA NA NA 343 NA NA NA NA NA NA NA 373 NA NA NA NA NA NA NA
1616886000.0 124.4 166 NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA 262 NA NA NA NA NA NA NA 291 NA NA NA NA NA NA NA
1616886000.0 124.5 167 NA NA NA NA NA NA NA 230 NA NA NA NA NA NA NA 270 NA NA NA NA NA NA NA 297 NA NA NA NA NA NA NA
