Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1616886000.0 1.0 87 79 191 NA NA NA NA NA 185 359 318 NA NA NA NA NA 1145 434 880 NA NA NA NA NA 1446 730 1305 NA NA NA NA NA
1616886000.0 10.0 NA 112 458 0 NA NA NA NA NA 371 566 0 NA NA NA NA NA 2153 2920 461 NA NA NA NA NA 1543 3409 555 NA NA NA NA
1616886000.0 1000.0 NA 385 151 0 49 NA NA NA NA 508 255 0 89 NA NA NA NA 2456 1182 549 242 NA NA NA NA 2635 1525 785 280 NA NA NA
1616886000.0 10001.0 NA 191 658 83 0 NA NA NA NA 489 786 134 0 NA NA NA NA 1243 1989 354 1577 NA NA NA NA 1766 4113 803 2218 NA NA NA
1616886000.0 10002.0 NA 191 660 83 0 NA NA NA NA 482 825 134 0 NA NA NA NA 1254 2009 360 1638 NA NA NA NA 1461 4196 1356 2627 NA NA NA
1616886000.0 10003.0 NA 196 660 83 0 NA NA NA NA 481 826 135 0 NA NA NA NA 1241 2025 353 1585 NA NA NA NA 1781 3498 825 1811 NA NA NA
1616886000.0 10004.0 NA 184 659 85 0 NA NA NA NA 489 821 135 0 NA NA NA NA 1224 1976 354 1582 NA NA NA NA 1534 4295 637 1987 NA NA NA
1616886000.0 10005.0 NA 188 660 83 0 NA NA NA NA 485 791 135 0 NA NA NA NA 1220 2002 354 1591 NA NA NA NA 1822 3864 802 1916 NA NA NA
1616886000.0 10006.0 NA 186 655 82 0 NA NA NA NA 483 829 134 0 NA NA NA NA 1230 1972 354 1646 NA NA NA NA 1874 3680 884 2735 NA NA NA
1616886000.0 10007.0 NA 191 656 93 0 NA NA NA NA 480 804 144 0 NA NA NA NA 1271 2022 383 1620 NA NA NA NA 2868 3355 932 2228 NA NA NA
1616886000.0 10008.0 NA 191 660 94 0 NA NA NA NA 481 827 144 0 NA NA NA NA 1260 2061 371 1590 NA NA NA NA 1468 4342 1853 2008 NA NA NA
1616886000.0 10009.0 NA 192 661 94 0 NA NA NA NA 475 822 144 0 NA NA NA NA 1295 2050 373 1591 NA NA NA NA 1634 4184 620 2040 NA NA NA
1616886000.0 1001.0 NA 362 181 0 0 0 0 0 NA 445 231 0 0 0 0 0 NA 2093 460 70 81 242 111 224 NA 3519 876 718 270 597 183 261
1616886000.0 1002.0 NA 414 63 NA NA NA NA NA NA 520 121 NA NA NA NA NA NA 2615 380 NA NA NA NA NA NA 2882 352 NA NA NA NA NA
1616886000.0 10023.0 NA 188 654 82 0 NA NA NA NA 480 786 133 0 NA NA NA NA 1228 1996 348 1580 NA NA NA NA 1797 3701 987 1774 NA NA NA
1616886000.0 10024.0 NA 215 677 95 0 NA NA NA NA 488 843 147 0 NA NA NA NA 1451 2289 376 1628 NA NA NA NA 2245 5438 986 2111 NA NA NA
1616886000.0 10024.1 NA 215 264 0 NA NA NA NA NA 480 369 0 NA NA NA NA NA 1398 784 294 NA NA NA NA NA 2817 2564 398 NA NA NA NA
1616886000.0 10024.2 NA 212 674 0 NA NA NA NA NA 480 834 0 NA NA NA NA NA 1445 2220 1593 NA NA NA NA NA 1820 3599 1887 NA NA NA NA
1616886000.0 10024.3 NA 212 241 0 NA NA NA NA NA 473 337 0 NA NA NA NA NA 1454 764 261 NA NA NA NA NA 2301 2056 350 NA NA NA NA
1616886000.0 10024.4 NA 215 681 0 NA NA NA NA NA 488 847 0 NA NA NA NA NA 1441 2233 1625 NA NA NA NA NA 2211 3931 2168 NA NA NA NA
1616886000.0 10024.5 NA 210 262 0 NA NA NA NA NA 480 378 0 NA NA NA NA NA 1398 778 293 NA NA NA NA NA 2226 1505 406 NA NA NA NA
1616886000.0 10024.6 NA 212 674 0 NA NA NA NA NA 474 830 0 NA NA NA NA NA 1443 2243 1604 NA NA NA NA NA 1753 3838 2149 NA NA NA NA
1616886000.0 10025.0 NA 204 669 84 0 NA NA NA NA 481 834 135 0 NA NA NA NA 1313 2100 358 1597 NA NA NA NA 1865 4018 856 2260 NA NA NA
1616886000.0 10026.0 NA 216 688 94 0 NA NA NA NA 474 818 144 0 NA NA NA NA 1424 2366 373 1629 NA NA NA NA 2576 4563 628 2041 NA NA NA
1616886000.0 1003.0 NA 311 0 NA NA NA NA NA NA 403 0 NA NA NA NA NA NA 2694 414 NA NA NA NA NA NA 3689 581 NA NA NA NA NA
1616886000.0 1004.0 NA 306 160 0 0 0 0 NA NA 391 213 0 0 0 0 NA NA 845 294 66 78 228 226 NA NA 2381 1139 183 163 333 286 NA
1616886000.0 10042.0 NA 202 667 95 0 NA NA NA NA 474 831 147 0 NA NA NA NA 1337 2127 380 1627 NA NA NA NA 2120 3693 1171 2065 NA NA NA
1616886000.0 10059.0 NA 219 682 94 0 NA NA NA NA 482 841 145 0 NA NA NA NA 1542 2745 382 1629 NA NA NA NA 2764 4581 890 2004 NA NA NA
1616886000.0 10071.0 NA 205 673 84 0 NA NA NA NA 488 796 135 0 NA NA NA NA 1340 2176 354 1634 NA NA NA NA 1889 3916 858 2313 NA NA NA
1616886000.0 101.0 79 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 855 NA NA NA NA NA NA NA 1086 NA NA NA NA NA NA NA
1616886000.0 1010.0 NA 23 69 0 NA NA NA NA NA 68 120 0 NA NA NA NA NA 100 168 89 NA NA NA NA NA 545 370 163 NA NA NA NA
1616886000.0 102.0 79 NA NA NA NA NA NA NA 149 NA NA NA NA NA NA NA 667 NA NA NA NA NA NA NA 836 NA NA NA NA NA NA NA
1616886000.0 1020.0 NA 35 NA NA NA NA NA NA NA 106 NA NA NA NA NA NA NA 212 NA NA NA NA NA NA NA 351 NA NA NA NA NA NA
1616886000.0 10224.0 NA 386 955 0 NA NA NA NA NA 568 1161 0 NA NA NA NA NA 3678 4405 1654 NA NA NA NA NA 4336 5732 2016 NA NA NA NA
1616886000.0 10225.0 NA 373 912 0 NA NA NA NA NA 581 1139 0 NA NA NA NA NA 3669 4228 1678 NA NA NA NA NA 4410 6225 2307 NA NA NA NA
1616886000.0 103.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 802 209 1204 NA NA NA NA NA 1351 302 2184 NA NA NA NA NA
1616886000.0 1030.0 NA 179 38 0 NA NA NA NA NA 314 84 0 NA NA NA NA NA 7906 211 63 NA NA NA NA NA 3220 271 245 NA NA NA NA
1616886000.0 10424.0 NA 211 677 0 NA NA NA NA NA 481 843 0 NA NA NA NA NA 1408 2256 1613 NA NA NA NA NA 2409 4312 2270 NA NA NA NA
1616886000.0 105.0 87 79 22 NA NA NA NA NA 185 359 65 NA NA NA NA NA 1493 441 106 NA NA NA NA NA 1014 462 195 NA NA NA NA NA
1616886000.0 106.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 709 210 1201 NA NA NA NA NA 1232 530 3219 NA NA NA NA NA
1616886000.0 107.0 91 86 435 NA NA NA NA NA 187 359 535 NA NA NA NA NA 3507 478 1442 NA NA NA NA NA 2294 679 2175 NA NA NA NA NA
1616886000.0 108.0 90 89 435 NA NA NA NA NA 188 367 539 NA NA NA NA NA 3885 505 1541 NA NA NA NA NA 1912 908 2401 NA NA NA NA NA
1616886000.0 10823.0 64 191 665 83 0 NA NA NA 124 470 832 134 0 NA NA NA 1594 1257 2026 349 1604 NA NA NA 1318 1571 3799 926 2023 NA NA NA
1616886000.0 10824.0 73 212 688 95 0 NA NA NA 134 478 846 145 0 NA NA NA 4030 1453 2293 379 1646 NA NA NA 2475 2216 4312 986 2722 NA NA NA
