Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617487200.0 10001.0 NA 190 658 83 0 NA 473 820 134 0 NA 1312 2124 381 1671 NA 2164 3988 1208 1952
1617487200.0 10002.0 NA 188 660 85 0 NA 480 825 134 0 NA 1331 2146 383 1719 NA 1839 4584 895 2084
1617487200.0 10003.0 NA 193 660 83 0 NA 480 815 134 0 NA 1277 2043 363 1602 NA 2018 3939 1118 2677
1617487200.0 10004.0 NA 187 657 84 0 NA 488 784 135 0 NA 1236 1978 357 1582 NA 2002 3394 1246 2085
1617487200.0 10005.0 NA 188 661 82 0 NA 482 797 135 0 NA 1260 1998 357 1588 NA 2160 3482 736 2098
1617487200.0 10006.0 NA 187 653 83 0 NA 489 830 135 0 NA 1314 2129 379 1695 NA 2080 5136 1020 2043
1617487200.0 10007.0 NA 190 659 94 0 NA 488 818 144 0 NA 1347 2176 397 1688 NA 2822 6030 837 1990
1617487200.0 10008.0 NA 189 660 93 0 NA 474 826 144 0 NA 1344 2178 399 1692 NA 1803 4821 1022 1961
1617487200.0 10023.0 NA 187 657 82 0 NA 473 814 135 0 NA 1267 1999 354 1595 NA 1975 3687 969 2014
1617487200.0 10024.0 NA 211 681 95 0 NA 489 840 146 0 NA 1547 2415 405 1774 NA 4179 4117 1001 2522
1617487200.0 10024.2 NA 212 669 0 NA NA 484 805 0 NA NA 1397 2273 1601 NA NA 2163 4350 2104 NA
1617487200.0 10024.4 NA 214 680 0 NA NA 475 841 0 NA NA 1469 2247 1628 NA NA 2209 3795 2178 NA
1617487200.0 10024.6 NA 208 673 0 NA NA 484 813 0 NA NA 1408 2227 1602 NA NA 1952 4065 3431 NA
1617487200.0 10025.0 NA 201 669 84 0 NA 483 801 134 0 NA 1294 2108 356 1616 NA 2028 3451 724 2256
1617487200.0 10026.0 NA 217 687 94 0 NA 485 838 144 0 NA 1564 2539 403 1751 NA 2944 4609 1055 2140
1617487200.0 10042.0 NA 199 673 94 0 NA 474 827 146 0 NA 1420 2293 404 1727 NA 2009 6406 1035 2128
1617487200.0 10059.0 NA 221 687 94 0 NA 482 841 145 0 NA 1659 2920 409 1748 NA 3647 4785 1643 2113
1617487200.0 10071.0 NA 203 680 84 0 NA 482 837 136 0 NA 1401 2348 386 1729 NA 2670 6119 1218 2072
1617487200.0 10224.0 NA 390 948 0 NA NA 563 1156 0 NA NA 3905 4776 1752 NA NA 4442 7731 2062 NA
1617487200.0 10225.0 NA 376 870 0 NA NA 577 1112 0 NA NA 3866 4516 1787 NA NA 6075 4588 2588 NA
1617487200.0 103.0 43 0 0 NA NA 90 0 0 NA NA 791 216 1267 NA NA 964 452 1809 NA NA
1617487200.0 10424.0 NA 212 677 0 NA NA 482 812 0 NA NA 1426 2244 1648 NA NA 2390 3995 2484 NA
1617487200.0 106.0 43 0 0 NA NA 90 0 0 NA NA 720 207 1203 NA NA 980 287 2826 NA NA
1617487200.0 107.0 90 87 434 NA NA 187 360 535 NA NA 3356 482 1461 NA NA 1805 805 3351 NA NA
1617487200.0 108.0 94 88 447 NA NA 191 360 545 NA NA 4045 484 1550 NA NA 2225 512 2602 NA NA
1617487200.0 10823.0 63 191 663 83 0 124 485 827 134 0 1651 1317 2160 373 1717 1877 1902 3556 831 2092
1617487200.0 10824.0 72 217 680 95 0 134 481 857 147 0 4693 1520 2444 414 1757 2828 1967 3234 1957 2433
1617487200.0 10825.0 68 199 672 85 0 128 478 836 135 0 3565 1431 2290 382 1797 2542 1889 4433 807 2650
1617487200.0 10826.0 74 216 682 94 0 136 482 854 144 0 6147 1635 2669 406 1758 4038 3028 5463 1086 2129
1617487200.0 10842.0 61 193 663 95 0 119 470 821 145 0 1450 1233 2135 396 1705 1727 2664 4547 890 1967
1617487200.0 109.0 94 90 438 NA NA 190 367 551 NA NA 4337 517 1558 NA NA 2204 917 2238 NA NA
1617487200.0 110.0 60 81 429 NA NA 124 359 529 NA NA 955 471 1498 NA NA 954 808 2363 NA NA
1617487200.0 111.0 87 84 430 NA NA 184 367 543 NA NA 2030 405 1473 NA NA 1474 941 1991 NA NA
1617487200.0 112.0 90 86 430 NA NA 191 359 537 NA NA 2868 495 1448 NA NA 1898 812 3325 NA NA
1617487200.0 11224.0 72 215 683 0 NA 135 478 833 0 NA 4535 1566 2457 1737 NA 2702 1905 3217 2054 NA
1617487200.0 113.0 86 85 435 NA NA 186 360 537 NA NA 3475 515 1558 NA NA 2638 1066 2598 NA NA
1617487200.0 114.0 84 86 431 NA NA 185 367 533 NA NA 3118 500 1456 NA NA 1868 1326 3011 NA NA
1617487200.0 115.0 88 86 432 NA NA 182 360 554 NA NA 3394 488 1481 NA NA 1857 942 2584 NA NA
1617487200.0 116.0 86 87 439 NA NA 185 368 539 NA NA 3651 512 1586 NA NA 2229 942 2670 NA NA
1617487200.0 11623.0 62 189 673 82 0 110 487 804 134 0 1394 1447 2341 404 1830 1605 3075 3917 878 2583
1617487200.0 11624.0 71 217 687 95 0 121 465 859 146 0 3971 1648 2654 485 1864 3303 2924 5516 1168 2913
1617487200.0 11625.0 66 202 678 84 0 114 480 839 135 0 2953 1528 2497 410 1857 2092 2008 7139 1519 2689
1617487200.0 11626.0 73 223 692 93 0 123 480 830 143 0 6147 1820 2885 551 1841 4505 2940 4264 1250 2469
1617487200.0 11642.0 56 188 662 93 0 103 476 831 146 0 1282 1367 2242 477 1862 1608 1997 3540 821 2687
1617487200.0 117.0 88 88 436 NA NA 191 367 556 NA NA 3833 491 1535 NA NA 2516 720 2792 NA NA
1617487200.0 118.0 85 88 438 NA NA 184 367 543 NA NA 4141 504 1536 NA NA 2283 1107 2752 NA NA
1617487200.0 119.0 88 84 430 NA NA 188 367 544 NA NA 3215 510 1550 NA NA 1939 850 2624 NA NA
1617487200.0 120.0 59 79 422 NA NA 144 359 538 NA NA 793 411 1349 NA NA 1215 598 2719 NA NA
1617487200.0 12024.0 71 216 687 0 NA 120 472 850 0 NA 4131 1636 2652 1854 NA 2663 2218 3848 2567 NA
1617487200.0 121.0 90 87 440 NA NA 192 367 546 NA NA 3230 501 1545 NA NA 1717 1439 2394 NA NA
1617487200.0 122.0 51 76 413 NA NA 106 367 528 NA NA 904 330 1441 NA NA 1875 917 2526 NA NA
1617487200.0 125.0 86 84 429 NA NA 187 367 536 NA NA 3511 496 1547 NA NA 3788 833 2307 NA NA
1617487200.0 126.0 61 80 426 NA NA 148 367 539 NA NA 1243 461 1515 NA NA 963 831 2424 NA NA
1617487200.0 127.0 59 80 422 NA NA 124 367 547 NA NA 1264 433 1370 NA NA 1444 1293 2140 NA NA
1617487200.0 128.0 57 83 422 NA NA 114 367 536 NA NA 729 420 1363 NA NA 634 498 2777 NA NA
1617487200.0 129.0 58 80 423 NA NA 122 367 525 NA NA 793 416 1361 NA NA 826 608 3031 NA NA
1617487200.0 130.0 60 80 426 NA NA 125 367 525 NA NA 965 481 1465 NA NA 1076 846 2050 NA NA
1617487200.0 1303.0 86 103 228 NA NA 158 377 345 NA NA 6029 532 1279 NA NA 3097 751 2015 NA NA
1617487200.0 131.0 60 83 428 NA NA 126 367 535 NA NA 1355 469 1485 NA NA 943 882 2501 NA NA
1617487200.0 132.0 91 85 438 NA NA 182 359 541 NA NA 3326 524 1593 NA NA 2021 1044 2070 NA NA
1617487200.0 1325.0 NA 108 570 0 68 NA 381 674 0 116 NA 521 1677 577 235 NA 978 3777 793 960
1617487200.0 1325.5 NA 195 0 NA NA NA 291 0 NA NA NA 4242 128 NA NA NA 5171 603 NA NA
1617487200.0 1325.6 NA 164 NA NA NA NA 245 NA NA NA NA 2180 NA NA NA NA 3193 NA NA NA
1617487200.0 1327.0 NA 101 564 0 NA NA 381 680 0 NA NA 483 1521 572 NA NA 944 2888 976 NA
1617487200.0 133.0 89 91 443 NA NA 191 360 551 NA NA 4609 531 1623 NA NA 2588 750 2959 NA NA
1617487200.0 1335.0 NA 99 559 0 NA NA 373 687 0 NA NA 480 1529 566 NA NA 1067 3052 808 NA
1617487200.0 134.704 NA 34 502 0 NA NA 82 597 0 NA NA 265 5225 593 NA NA 544 3919 882 NA
1617487200.0 134.706 NA 40 511 0 NA NA 83 608 0 NA NA 250 5775 641 NA NA 459 3725 833 NA
1617487200.0 134.709 NA 32 682 0 NA NA 83 796 0 NA NA 268 5327 605 NA NA 756 4640 1024 NA
1617487200.0 134.71 NA 28 493 0 NA NA 79 588 0 NA NA 245 3806 592 NA NA 467 3425 959 NA
1617487200.0 134.801 NA 37 502 0 NA NA 86 600 0 NA NA 223 4040 588 NA NA 769 4410 1077 NA
1617487200.0 134.805 NA 31 515 0 NA NA 89 617 0 NA NA 237 6462 593 NA NA 675 4457 1022 NA
1617487200.0 134.807 NA 90 550 0 NA NA 194 680 0 NA NA 1297 7216 697 NA NA 1394 5617 1046 NA
1617487200.0 134.808 NA 91 545 0 NA NA 193 675 0 NA NA 1384 7447 651 NA NA 1788 5083 1193 NA
1617487200.0 134.901 NA 37 496 0 NA NA 84 595 0 NA NA 264 4071 588 NA NA 525 4464 815 NA
1617487200.0 134.902 NA 32 501 0 NA NA 90 596 0 NA NA 263 5069 584 NA NA 525 4487 796 NA
1617487200.0 134.907 NA 89 527 0 NA NA 190 661 0 NA NA 1102 5517 619 NA NA 2221 5112 833 NA
1617487200.0 134.91 NA 30 498 0 NA NA 89 603 0 NA NA 283 4509 623 NA NA 408 4537 773 NA
1617487200.0 134.99901 NA 33 498 0 NA NA 93 593 0 NA NA 246 4644 589 NA NA 594 4480 881 NA
1617487200.0 1340.0 NA 98 559 0 NA NA 381 664 0 NA NA 488 1516 561 NA NA 1061 3485 779 NA
1617487200.0 1341.0 NA 109 573 0 NA NA 373 695 0 NA NA 539 1865 573 NA NA 1202 2782 802 NA
1617487200.0 1345.0 NA 104 559 0 NA NA 373 678 0 NA NA 532 1578 575 NA NA 1162 4006 879 NA
1617487200.0 1351.0 NA 104 563 0 NA NA 381 680 0 NA NA 529 1563 574 NA NA 1495 2917 1190 NA
1617487200.0 1355.0 NA 107 562 0 NA NA 381 677 0 NA NA 539 1615 569 NA NA 1192 4205 791 NA
1617487200.0 1356.0 86 101 566 0 141 159 370 718 0 213 2907 489 1583 564 604 1913 939 3317 749 1477
1617487200.0 136.722 NA 70 534 0 NA NA 134 679 0 NA NA 641 7090 706 NA NA 1089 4543 1081 NA
1617487200.0 136.723 NA 76 522 0 NA NA 136 630 0 NA NA 874 6750 714 NA NA 1470 4283 1223 NA
1617487200.0 136.724 NA 73 544 0 NA NA 134 681 0 NA NA 623 7880 703 NA NA 1004 5147 993 NA
1617487200.0 136.725 NA 72 550 0 NA NA 130 720 0 NA NA 491 7069 727 NA NA 986 4670 1435 NA
1617487200.0 136.726 NA 72 528 0 NA NA 139 640 0 NA NA 674 7360 705 NA NA 1165 4314 1117 NA
1617487200.0 136.727 NA 131 553 0 NA NA 244 702 0 NA NA 1307 7441 720 NA NA 1894 5133 1235 NA
1617487200.0 136.728 NA 135 551 0 NA NA 246 705 0 NA NA 1572 7959 707 NA NA 1912 6063 1076 NA
1617487200.0 136.73 NA 71 547 0 NA NA 132 703 0 NA NA 818 7229 703 NA NA 1226 4899 1012 NA
1617487200.0 136.731 NA 72 549 0 NA NA 134 719 0 NA NA 523 7420 695 NA NA 999 4438 885 NA
1617487200.0 136.732 NA 76 520 0 NA NA 135 629 0 NA NA 737 5716 698 NA NA 1117 3809 921 NA
1617487200.0 136.7321 NA 85 544 0 NA NA 149 651 0 NA NA 670 5719 700 NA NA 891 3890 950 NA
1617487200.0 136.734 NA 73 525 0 NA NA 132 634 0 NA NA 902 7117 707 NA NA 1248 4329 1233 NA
1617487200.0 136.736 NA 71 542 0 NA NA 134 672 0 NA NA 707 10347 710 NA NA 936 5487 957 NA
1617487200.0 136.738 NA 71 538 0 NA NA 134 668 0 NA NA 737 11390 710 NA NA 1195 6716 900 NA
1617487200.0 136.739 NA 76 561 0 NA NA 131 712 0 NA NA 645 13169 705 NA NA 721 6913 1105 NA
1617487200.0 136.74 NA 78 570 0 NA NA 135 754 0 NA NA 604 11700 706 NA NA 698 7168 1163 NA
1617487200.0 136.742 NA 71 535 0 NA NA 131 661 0 NA NA 858 10841 707 NA NA 1353 6134 938 NA
