Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1617487200.0 1.0 49 140 112 NA NA 87 182 164 NA NA 992 332 317 NA NA 1017 382 361 NA NA
1617487200.0 10.0 NA 159 172 0 NA NA 213 224 0 NA NA 1526 2196 639 NA NA 1954 2244 671 NA
1617487200.0 1000.0 NA 173 89 0 34 NA 232 132 0 64 NA 1899 318 292 93 NA 1972 383 326 123
1617487200.0 1001.0 NA 166 33 0 NA NA 214 62 0 NA NA 1584 34 34 NA NA 1667 56 55 NA
1617487200.0 1002.0 NA 167 50 NA NA NA 218 82 NA NA NA 1660 133 NA NA NA 1740 155 NA NA
1617487200.0 107.0 50 150 170 NA NA 88 202 221 NA NA 1659 392 458 NA NA 1709 451 495 NA NA
1617487200.0 108.0 50 149 169 NA NA 87 202 221 NA NA 1809 395 460 NA NA 1836 454 513 NA NA
1617487200.0 109.0 51 152 170 NA NA 88 204 222 NA NA 2166 413 494 NA NA 2201 467 533 NA NA
1617487200.0 11.0 NA 151 176 0 49 NA 206 228 0 74 NA 1031 1366 706 43 NA 1094 1423 735 62
1617487200.0 1102.0 NA 155 176 102 55 NA 212 226 153 96 NA 2125 3045 1870 150 NA 2206 3082 1899 163
1617487200.0 111.0 50 151 171 NA NA 87 201 220 NA NA 1041 344 398 NA NA 1079 391 432 NA NA
1617487200.0 112.0 50 148 170 NA NA 88 201 220 NA NA 1685 380 438 NA NA 1713 443 472 NA NA
1617487200.0 113.0 52 150 169 NA NA 90 204 221 NA NA 2148 387 464 NA NA 2182 437 505 NA NA
1617487200.0 114.0 52 152 171 NA NA 90 204 221 NA NA 2089 397 477 NA NA 2121 456 520 NA NA
1617487200.0 115.0 52 152 172 NA NA 90 205 223 NA NA 2228 404 495 NA NA 2259 467 541 NA NA
1617487200.0 116.0 52 150 169 NA NA 90 204 222 NA NA 2312 399 480 NA NA 2357 455 530 NA NA
1617487200.0 117.0 53 153 172 NA NA 90 205 223 NA NA 2895 417 524 NA NA 2948 479 584 NA NA
1617487200.0 118.0 53 155 174 NA NA 91 206 224 NA NA 2777 431 539 NA NA 2832 491 588 NA NA
1617487200.0 119.0 50 150 171 NA NA 87 201 220 NA NA 1528 378 435 NA NA 1582 438 474 NA NA
1617487200.0 121.0 53 163 172 NA NA 91 205 223 NA NA 2843 434 549 NA NA 3039 491 593 NA NA
1617487200.0 125.0 51 149 170 NA NA 88 201 220 NA NA 1769 382 442 NA NA 1801 431 481 NA NA
