Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4
1617570000.0 134.0 NA 290 51 0 NA 617 129 0 NA 4183 166 77 NA 5475 420 254
1617570000.0 23461.97 936 NA NA NA 1497 NA NA NA 11126 NA NA NA 6631 NA NA NA
1617570000.0 516.0 18 41 0 NA 85 116 0 NA 2297 242 154 NA 12914 1553 542 NA
1617570000.0 519.0 18 40 0 NA 85 114 0 NA 2362 254 154 NA 13545 928 416 NA
1617570000.0 525.0 18 38 0 NA 85 111 0 NA 2285 196 159 NA 12946 556 668 NA
1617570000.0 528.0 18 38 0 NA 85 111 0 NA 2295 196 154 NA 12943 554 551 NA
